RunMe,LastUpdated,RecentEndDate,Project,LongName,ContentNotes,Dict,SASprog,RawData,PreNc,PostNc,PreTime,PostTime,IDVar,Evaluation,Behavior
,4/30/2019,,ADHDApr,ADHD April 2015,,ADHDApr15_DataDict_2018_09_27tab.txt,ADHDSurveyUpdatedApr_SAS_2019-04-30_1549.sas,ADHDSurveyUpdatedApr_DATA_NOHDRS,2,0,adhd_initial_survey_timestamp,adhd_post_survey_timestamp,participant_id_i,,
,2/19/2021,,ADHDOct,ADHD October 2017,,ADHDOct17_DataDict_2018-09-27tab.txt,ADHDSurveyUpdatedOct_SAS_2019-10-09_1542.sas,ADHDSurveyUpdatedOct_DATA_NOHDRS,2,0,adhd_initial_survey_timestamp,adhd_post_survey_timestamp,participant_id_i,,
,1/29/2021,,Adol,Adolescent health,,AdolescentHealthSurveys_DataDictionary_2019-07-12tab.txt,AdolescentHealthSurv_SAS_2019-11-11_1522.sas,AdolescentHealthSurv_DATA_NOHDRS,2,2,adolescent_health_pr_v_0,adolescent_health_po_v_2,record_id,,
x,1/11/2022,,CPA,Complex pediatric asthma,,ComplexPediatricAsthmaSurvey_DataDictionary_2019-08-13.txt,ComplexPediatricAsth_SAS_2019-10-09_1551.SAS,ComplexPediatricAsth_DATA_NOHDRS,2,3,complex_pediatric_as_v_0,complex_pediatric_as_v_2,participant_id_i,,
,4/8/2021,,BHColl,Behavioral - Collaborative Care,,BHColl_DataDict_2018_09_27tab.txt,BehavioralHealthInte_SAS_2021-04-08_1202.sas,BehavioralHealthInte_DATA_NOHDRS,0,3,behavioral_health_in_v_0,behavioral_health_in_v_2,record_id,,
,1/29/2021,,BHPsy,Behavioral - Psy,,BHPsy_DataDict_2018_09_27tab.txt,BehavioralHealthInte_SAS_2019-11-07_1208.sas,BehavioralHealthInte_DATA_NOHDRS,0,3,preseries_survey_timestamp,postseries_survey_timestamp,record_id,,
,6/3/2021,,CAT,Childhood Adversity and Trauma,,ChildhoodAdversityTraumaSurvey_DataDictionary_2019-11-01.txt,ChildhoodAdversityTr_SAS_2019-10-31_1213.sas,ChildhoodAdversityTr_DATA_NOHDRS,0,2,childhood_adversity__v_0,childhood_adversity__v_2,record_id,,
,,,CCLC1,Comprehensive Care,Only post? No past participation.,CompCare_DataDict_2018_09_27tab.txt,ComprehensiveCareLea_SAS_2019-04-30_1556.sas,ComprehensiveCareLea_DATA_NOHDRS,,,preseries_survey_timestamp,postseries_survey_timestamp,participant_id_i,,
,,,CCLC2,Comprehensive Care 2,No demog. Only post?,CompCar2_DataDict_2018-09-27tab.txt,ComprehensiveCareLea_SAS_2019-04-30_1556.sas,ComprehensiveCareLea_DATA_NOHDRS,,,cclc_preseries_2_sur_v_0,postseries_survey_timestamp,record_id,,
,1/6/2022,,Diabetes,Diabetes,,DiabetesSurveys_DataDictionary_2020-07-06tab.txt,DiabetesSurveys_SAS_2020-07-06_1929.sas,DiabetesSurveys_DATA_NOHDRS.csv,2,3,diabetes_preseries_s_v_0,diabetes_postseries__v_4,record_id,,
